OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GEESAT-2 05,2024-023E,2026-03-24T06:16:58.429632,14.82944907,.00108875,50.0054,27.5196,96.9530,263.2646,0,U,58909,999,11631,.28812967E-3,.2139E-4,0
GEESAT-2 06,2024-023F,2026-03-24T04:30:32.732640,15.03314925,.00062016,49.9893,346.2433,77.4875,282.6765,0,U,58910,999,11685,.50787643E-3,.6713E-4,0
GEESAT-2 07,2024-023G,2026-03-24T06:59:59.657280,14.82948555,.00102019,50.0064,27.7772,92.7946,267.4160,0,U,58911,999,11631,.28836679E-3,.2141E-4,0
GEESAT-2 08,2024-023H,2026-03-24T06:38:09.113568,14.82946193,.00043938,49.9902,26.4607,16.2930,343.8148,0,U,58912,999,11631,.32588553E-3,.2449E-4,0
GEESAT-2 09,2024-023J,2026-03-24T07:43:26.035968,14.82974642,.00223871,50.0040,27.0828,41.0046,319.2570,0,U,58913,999,11632,.29911254E-3,.2235E-4,0
GEESAT-2 10,2024-023K,2026-03-24T07:21:43.370208,14.82976601,.00101691,49.9950,27.0440,29.4463,330.7046,0,U,58914,999,11631,.29492909E-3,.2196E-4,0
GEESAT-2 11,2024-023L,2026-03-24T06:27:33.461856,14.82980589,.00194284,50.0005,27.1699,147.0735,213.1418,0,U,58915,999,11631,.31013112E-3,.2325E-4,0
GEESAT-3 01,2024-159A,2026-03-24T05:34:17.549184,14.83901063,.00032344,49.9985,117.0285,283.7704,76.2874,0,U,61011,999,8406,.31133708E-3,.2387E-4,0
GEESAT-3 02,2024-159B,2026-03-24T07:00:48.060288,14.83882964,.00187169,49.9923,117.0384,90.3679,269.9404,0,U,61012,999,8418,.26885171E-3,.2031E-4,0
GEESAT-3 03,2024-159C,2026-03-24T05:56:02.184864,14.83903634,.0005748,49.9916,115.9894,165.7852,194.3249,0,U,61013,999,8422,.30217688E-3,.231E-4,0
GEESAT-3 04,2024-159D,2026-03-24T06:48:34.947648,14.82919059,.00023077,49.9988,27.2229,102.3867,257.7330,0,U,61014,999,8540,.36601364E-3,.2777E-4,0
GEESAT-3 05,2024-159E,2026-03-24T07:21:42.558912,14.83880876,.00129304,50.0008,116.8994,88.8097,271.4323,0,U,61015,999,8417,.33210372E-3,.2561E-4,0
GEESAT-3 06,2024-159F,2026-03-24T06:28:09.833664,14.83884482,.00163826,49.9961,117.1432,112.4442,247.8234,0,U,61016,999,8415,.2692257E-3,.2034E-4,0
GEESAT-3 07,2024-159G,2026-03-24T06:17:18.554784,14.83887888,.00110125,49.9919,116.8176,65.7607,294.4481,0,U,61017,999,8353,.27290349E-3,.2063E-4,0
